SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
24.2955663762771,29.0406727336864,9.46,43.631,27.026,16.869,71.269,44.73,15.695,67.349,17.064,9.602,11.95,75.478,72.971,1
24.4031087521664,27.4585088288879,9.349,42.65,26.466,17.745,73.1,46.094,16.472,68.962,16.338,8.319,12.684,75.84,73.43,1
23.9108384824686,27.4046926924829,8.634,42.345,25.952,15.984,69.869,43.574,14.798,65.756,15.687,9.021,12.771,76.467,73.803,1
24.0317833766854,27.5370904100269,9.454,40.071,25.174,17.516,70.64,44.71,16.179,66.336,16.605,9.941,11.888,76.824,74.456,1
24.0488876559293,27.3568136362457,9.038,39.264,24.547,18.262,70.509,45.0,16.826,66.037,18.309,8.206,12.731,76.803,74.693,1
23.8760546243377,27.1159051405016,8.978,39.169,24.46,18.166,70.74,45.066,16.693,66.076,20.785,9.858,12.872,76.821,74.7,1
23.690086846041,27.00091161612,8.936,39.105,24.397,18.073,70.981,45.14,16.56,66.12,21.02,10.0,12.654,77.205,74.966,1
23.8413959056158,27.1592731822743,8.916,39.093,24.372,18.016,71.267,45.256,16.456,66.204,21.23,10.126,12.303,77.76,75.238,1
24.2832212845086,27.9295449229963,8.092,36.09,22.423,16.948,67.538,42.824,15.439,62.592,23.536,11.773,12.057,75.912,73.082,1
24.1753296334169,27.8596853853201,8.386,36.603,22.82,17.621,68.053,43.413,16.003,62.918,23.017,11.446,11.714,77.959,74.879,1
85.1373988494325,63.9539659272196,59.305,56.154,57.744,76.261,79.297,77.735,75.566,79.243,18.391,14.434,178.605,48.478,42.455,0
84.9886003328245,63.6506702723908,59.14,55.831,57.5,76.302,79.173,77.696,75.598,79.126,18.533,14.551,177.316,48.561,43.562,0
84.975257928662,63.5363472438449,59.115,55.805,57.474,76.317,79.158,77.696,75.602,79.114,18.57,14.582,176.253,49.606,43.714,0
85.2651952621959,63.7929241402861,59.0,55.732,57.38,76.363,79.147,77.715,75.614,79.069,18.263,14.328,175.341,49.896,44.94,0
85.1082345402115,63.3164830136024,58.915,55.552,57.246,76.387,79.075,77.693,75.63,79.003,18.287,14.348,171.817,51.674,47.568,0
84.786200128466,62.4979059501693,58.787,55.398,57.104,76.431,79.031,77.696,75.648,78.933,18.121,14.21,170.795,52.657,48.532,0
84.1888893806532,61.1428970480467,58.653,55.286,56.98,76.482,79.014,77.715,75.663,78.872,18.106,14.198,170.951,53.634,49.508,0
83.842194952284,60.209465608068,58.686,55.459,57.082,76.492,79.094,77.76,75.648,78.921,17.885,14.015,169.366,54.518,50.227,0
83.1498927043647,58.726721176662,58.687,55.6,57.152,76.511,79.17,77.808,75.638,78.955,17.816,13.958,168.678,55.815,51.473,0
82.660086947554,57.64832629721,58.691,55.7,57.204,76.525,79.226,77.844,75.63,78.979,17.936,14.058,168.701,56.734,52.527,0
82.8575435310102,57.8605148791674,58.737,55.717,57.235,76.514,79.227,77.84,75.625,78.993,18.25,14.316,169.586,57.967,53.537,1
81.9222614911341,56.165082568242,58.743,55.712,57.236,76.517,79.232,77.844,75.625,78.993,18.527,14.546,164.955,59.039,54.415,1
81.2489505245372,54.9212775187646,57.312,57.96,57.634,75.873,79.876,77.83,74.87,79.905,18.792,14.764,159.295,59.869,55.314,1
77.9100862113821,51.8700192918679,56.92,57.546,57.232,75.652,79.627,77.597,74.638,79.575,18.255,14.748,156.557,61.024,56.22,1
74.4214356566696,49.2833472263303,56.524,57.135,56.828,75.428,79.378,77.361,74.405,79.241,17.94,14.917,153.345,61.684,56.925,1
70.681885776156,46.8533412235163,56.124,56.727,56.424,75.199,79.128,77.122,74.171,78.904,17.59,15.053,151.093,62.472,57.606,1
70.7707242165296,47.382229208081,55.719,56.321,56.019,74.968,78.876,76.881,73.936,78.563,17.486,15.416,148.074,63.094,58.213,1
70.698585615128,47.9209011015395,55.312,55.916,55.613,74.736,78.624,76.64,73.7,78.218,17.375,15.785,146.135,63.434,58.741,1
70.5821663080946,48.5015956764538,54.901,55.513,55.206,74.502,78.37,76.397,73.462,77.87,17.189,16.092,145.235,64.019,59.331,1
70.4609450504455,49.1700631963661,54.486,55.113,54.798,74.266,78.117,76.153,73.224,77.518,16.926,16.328,142.575,64.717,59.582,1
70.7318289340891,50.2974540672854,54.067,54.716,54.39,74.029,77.864,75.908,72.985,77.163,16.55,16.45,141.278,64.922,59.977,1
70.7717417398435,50.6352979480391,53.336,54.839,54.085,74.139,77.954,76.009,73.047,77.236,16.601,16.796,139.825,64.982,59.584,1
70.6376404964056,50.3367552607185,53.551,55.552,54.548,75.83,78.884,77.327,74.694,78.133,15.78,15.82,138.402,64.307,59.029,1
22.9326929890653,25.485555022389,39.957,55.313,47.716,53.03,80.084,66.457,46.494,74.4,5.747,5.236,71.979,75.635,68.957,1
23.0020635100473,25.5443634955301,39.983,54.947,47.552,54.385,80.465,67.34,47.634,74.658,6.71,6.122,72.151,75.719,69.095,1
23.1198169180509,25.4608444742805,40.068,54.512,47.381,55.813,80.827,68.248,48.844,74.907,12.552,8.401,72.502,75.94,69.16,1
22.9462998056733,25.2052645626546,40.028,54.306,47.266,56.79,81.081,68.875,49.664,75.053,13.924,10.24,73.516,76.049,70.18,1
22.7612250810438,25.0270037646621,39.316,55.18,47.365,55.995,80.962,68.425,48.938,74.849,22.211,16.434,72.81,76.243,69.95,1
23.248609515178,25.4120359982725,39.378,54.895,47.259,56.916,81.185,69.004,49.718,74.989,19.2,15.641,71.39,76.418,70.123,1
22.5146069195989,24.4321881584177,39.762,54.181,47.091,58.351,81.479,69.875,50.951,75.22,17.641,12.795,70.424,76.464,69.705,1
22.0812712997538,24.1388429483071,39.882,53.922,47.024,58.963,81.584,70.238,51.462,75.288,14.035,11.647,69.307,76.758,70.149,1
21.6358348442072,24.0726573729736,39.451,54.554,47.138,58.089,81.383,69.703,50.666,75.07,15.156,13.259,68.268,76.989,70.407,1
20.625211472616,24.3534104683513,39.358,54.731,47.186,57.783,81.269,69.497,50.359,74.949,16.36,14.033,66.54,77.223,70.583,1
21.400290659268,25.429218858326,38.939,55.412,47.329,56.717,80.978,68.823,49.389,74.666,17.191,17.411,64.0,77.59,70.749,1
19.910741298251,27.7433678617947,37.984,56.964,47.652,54.213,80.339,67.255,47.156,74.071,18.814,20.113,63.078,78.075,70.752,1
19.0107469578335,24.8925850417107,38.924,55.68,47.46,55.856,80.599,68.213,48.535,74.339,17.593,13.819,60.281,77.276,70.83,1
18.6291981395305,23.6122472127516,39.861,54.401,47.269,57.542,80.858,69.193,49.954,74.599,15.822,11.892,62.62,78.103,71.53,1
18.2743929811425,23.2844999666613,36.96,53.233,45.255,56.35,80.709,68.53,49.094,74.614,13.6,10.059,64.877,78.527,71.692,1
17.4032018391484,22.178057799161,38.453,52.272,45.501,57.155,80.647,68.908,49.735,74.523,12.434,8.423,64.07,78.716,72.066,1
16.5077949933673,20.9694002353248,36.785,50.962,44.019,56.426,80.292,68.372,48.899,73.993,10.493,7.061,66.424,78.515,71.487,1
16.329249087209,20.9459587889164,35.135,49.654,42.547,55.678,79.926,67.822,48.063,73.454,9.755,6.52,66.149,78.927,72.276,1
